,,,,
Município,ibge,latitude,longitude,/Energia Elétr...umo/Residencial 2012 (MWh)
Água Santa,4300059,-28.167200000000,-52.030999999990,906
Agudo,4300109,-29.644700000000,-53.251500000000,6379
Ajuricaba,4300208,-28.234200000000,-53.775700000000,2923
Alecrim,4300307,-27.657900000000,-54.764899999990,1606
Alegrete,4300406,-29.790199999990,-55.794899999990,51773
Alegria,4300455,-27.834499999990,-54.055700000000,1049
Alpestre,4300505,-27.250200000000,-53.034100000000,1638
Alto Feliz,4300570,-29.391900000000,-51.312300000000,912
Alvorada,4300604,-29.991399999990,-51.080900000000,101919
Amaral Ferrador,4300638,-30.875599999990,-52.250999999990,1167
Ametista do Sul,4300646,-27.360700000000,-53.183000000000,113
André da Rocha,4300661,-28.628299999990,-51.579700000000,472
Anta Gorda,4300703,-28.969799999990,-52.010199999990,2182
Antônio Prado,4300802,-28.856500000000,-51.288300000000,7481
Arambaré,4300851,-30.909300000000,-51.504600000000,3896
Araricá,4300877,-29.616800000000,-50.929099999990,4627
Aratiba,4300901,-27.397800000000,-52.297499999990,2382
Arroio do Meio,4301008,-29.401399999990,-51.955700000000,13747
Arroio do Padre,4301073,-31.431600000000,-52.417099999990,280
Arroio do Sal,4301057,-29.543900000000,-49.889499999990,14418
Arroio do Tigre,4301206,-29.334800000000,-53.096600000000,3814
Arroio dos Ratos,4301107,-30.087500000000,-51.727499999990,8292
Arroio Grande,4301305,-32.232700000000,-53.086199999990,10207
Arvorezinha,4301404,-28.873699999990,-52.178100000000,4148
Augusto Pestana,4301503,-28.517299999990,-53.988300000000,2728
Áurea,4301552,-27.693600000000,-52.050500000000,1073
Bagé,4301602,-31.329699999990,-54.099899999990,73811
Balneário Pinhal,4301636,-30.241900000000,-50.233600000000,15436
Barão,4301651,-29.372500000000,-51.494900000000,117
Barão de Cotegipe,4301701,-27.620799999990,-52.379800000000,2660
Barão do Triunfo,4301750,-30.389099999990,-51.738399999990,293
Barra do Guarita,4301859,-27.192699999990,-53.710900000000,1037
Barra do Quaraí,4301875,-30.202900000000,-57.549700000000,1614
Barra do Ribeiro,4301909,-30.293900000000,-51.301400000000,7223
Barra do Rio Azul,4301925,-27.406800000000,-52.408400000000,343
Barra Funda,4301958,-27.920500000000,-53.039099999990,1089
Barracão,4301800,-27.673900000000,-51.458599999990,2001
Barros Cassal,4302006,-29.094700000000,-52.583599999990,2128
Benjamin Constant do Sul,4302055,-27.508600000000,-52.599499999990,440
Bento Gonçalves,4302105,-29.166200000000,-51.516500000000,82238
Boa Vista das Missões,4302154,-27.667100000000,-53.310200000000,7
Boa Vista do Buricá,4302204,-27.669300000000,-54.108199999990,3483
Boa Vista do Cadeado,4302220,-28.571600000000,-53.813800000000,274
Boa Vista do Sul,4302253,-29.354399999990,-51.668700000000,335
Bom Jesus,4302303,-28.669699999990,-50.429499999990,5051
Bom Princípio,4302352,-29.485600000000,-51.354799999990,8744
Bom Progresso,4302378,-27.539899999990,-53.871600000000,802
Bom Retiro do Sul,4302402,-29.608599999990,-51.946399999990,7589
Boqueirão do Leão,4302451,-29.304600000000,-52.428400000000,98
Bossoroca,4302501,-28.729099999990,-54.903500000000,46
Bozano,4302584,-28.367460000000,-53.772239999990,0
Braga,4302600,-27.617300000000,-53.740499999990,1173
Brochier,4302659,-29.550100000000,-51.594499999990,1850
Butiá,4302709,-30.117899999990,-51.960099999990,12400
Caçapava do Sul,4302808,-30.514399999990,-53.482700000000,18534
Cacequi,4302907,-29.888300000000,-54.822000000000,7292
Cachoeira do Sul,4303004,-30.033000000000,-52.892800000000,55328
Cachoeirinha,4303103,-29.947199999990,-51.101599999990,96359
Cacique Doble,4303202,-27.766999999990,-51.659700000000,1320
Caiçara,4303400,-27.279100000000,-53.425699999990,1328
Camaquã,4303509,-30.848900000000,-51.804299999990,36076
Camargo,4303558,-28.588000000000,-52.200299999990,868
Cambará do Sul,4303608,-29.047400000000,-50.146500000000,3424
Campestre da Serra,4303673,-28.792600000000,-51.094099999990,1061
Campina das Missões,4303707,-27.988800000000,-54.841700000000,1794
Campinas do Sul,4303806,-27.717400000000,-52.624800000000,2849
Campo Bom,4303905,-29.674700000000,-51.060600000000,58244
Campo Novo,4304002,-27.679200000000,-53.805199999990,2420
Candelária,4304200,-29.668399999990,-52.789499999990,12211
Cândido Godói,4304309,-27.951499999990,-54.751700000000,1708
Candiota,4304358,-31.551500000000,-53.677300000000,4736
Canela,4304408,-29.356000000000,-50.811900000000,31186
Canguçu,4304507,-31.396000000000,-52.678199999990,13744
Canoas,4304606,-29.912800000000,-51.185699999990,289937
Capão Bonito do Sul,4304622,-29.764199999990,-50.028199999990,426
Capão da Canoa,4304630,-29.639700000000,-49.959899999990,61414
Capão do Cipó,4304655,-28.904000000000,-54.700000000000,457
Capão do Leão,4304663,-31.756499999990,-52.488900000000,13759
Capela de Santana,4304689,-29.696100000000,-51.328000000000,6843
Capitão,4304697,-29.267399999990,-51.985300000000,5
Capivari do Sul,4304671,-30.138200000000,-50.515099999990,2543
Caraá,4304713,-29.786899999990,-50.431600000000,1596
Carazinho,4304705,-28.295800000000,-52.793300000000,0
Carlos Barbosa,4304804,-29.296900000000,-51.502899999990,17149
Carlos Gomes,4304853,-27.716699999990,-51.912100000000,323
Casca,4304903,-28.560500000000,-51.981499999990,4522
Caseiros,4304952,-28.258199999990,-51.686100000000,1055
Catuípe,4305009,-28.255400000000,-54.013199999990,3811
Caxias do Sul,4305108,-29.162900000000,-51.179200000000,341829
Centenário,4305116,-27.761600000000,-51.998399999990,631
Cerrito,4305124,-31.841899999990,-52.800400000000,2117
Cerro Branco,4305132,-29.657000000000,-52.940600000000,11
Cerro Grande,4305157,-27.610600000000,-53.167200000000,3
Cerro Grande do Sul,4305173,-30.590499999990,-51.741799999990,1910
Cerro Largo,4305207,-28.146200000000,-54.742800000000,8069
Charqueadas,4305355,-29.962500000000,-51.628900000000,21103
Charrua,4305371,-27.949300000000,-52.015000000000,400
Chiapetta,4305405,-27.922999999990,-53.941899999990,1615
Chuí,4305439,-33.686599999990,-53.459400000000,3544
Chuvisca,4305447,-30.750399999990,-51.973700000000,514
Cidreira,4305454,-30.160399999990,-50.233800000000,19242
Ciríaco,4305504,-28.341899999990,-51.874099999990,1447
Colinas,4305587,-29.381499999990,-51.852600000000,1040
Constantina,4305801,-27.731999999990,-52.993800000000,4639
Coqueiro Baixo,4305835,-29.172200000000,-52.098900000000,240
Coronel Bicaco,4305900,-27.719700000000,-53.702199999990,2938
Coronel Pilar,4305934,-29.268400000000,-51.687899999990,201
Cotiporã,4305959,-28.989100000000,-51.697099999990,1697
Coxilha,4305975,-28.128000000000,-52.302300000000,1085
Crissiumal,4306007,-27.499900000000,-54.099400000000,5109
Cristal,4306056,-31.004600000000,-52.043599999990,2854
Cristal do Sul,4306072,-27.452000000000,-53.242199999990,26
Cruz Alta,4306106,-28.645000000000,-53.604799999990,42933
Cruzaltense,4306130,-27.664400000000,-52.649200000000,326
Cruzeiro do Sul,4306205,-29.514800000000,-51.992800000000,7400
David Canabarro,4306304,-28.384899999990,-51.848199999990,1295
Derrubadas,4306320,-27.264199999990,-53.864500000000,653
Dezesseis de Novembro,4306353,-28.219000000000,-55.061700000000,465
Dilermando de Aguiar,4306379,-29.705400000000,-54.212200000000,890
Dois Irmãos,4306403,-29.583600000000,-51.089799999990,25158
Dois Irmãos das Missões,4306429,-27.662099999990,-53.530400000000,701
Dois Lajeados,4306452,-28.983000000000,-51.839599999990,1136
Dom Feliciano,4306502,-30.700399999990,-52.102600000000,2603
Dom Pedrito,4306601,-30.975600000000,-54.669400000000,23849
Dom Pedro de Alcântara,4306551,-29.363900000000,-49.853000000000,654
Doutor Maurício Cardoso,4306734,-27.510300000000,-54.357799999990,2076
Doutor Ricardo,4306759,-29.084000000000,-51.997100000000,587
Eldorado do Sul,4306767,-30.084700000000,-51.618699999990,21945
Encantado,4306809,-29.235099999990,-51.870300000000,17531
Encruzilhada do Sul,4306908,-30.542999999990,-52.520400000000,10359
Engenho Velho,4306924,-27.706000000000,-52.914499999990,456
Entre Rios do Sul,4306957,-27.529800000000,-52.734699999990,1240
Entre-ijuís,4306932,-28.368600000000,-54.268599999990,3501
Erebango,4306973,-27.854399999990,-52.300500000000,1285
Erechim,4307005,-27.636399999990,-52.269700000000,69445
Ernestina,4307054,-28.497699999990,-52.583599999990,1109
Erval Grande,4307203,-27.392600000000,-52.573999999990,1500
Erval Seco,4307302,-27.544300000000,-53.500500000000,2292
Esmeralda,4307401,-28.051800000000,-51.193300000000,1419
Esperança do Sul,4307450,-27.360299999990,-53.989100000000,578
Espumoso,4307500,-28.728600000000,-52.846100000000,7807
Estação,4307559,-27.913499999990,-52.263500000000,3648
Estância Velha,4307609,-29.653500000000,-51.184300000000,40216
Esteio,4307708,-29.852000000000,-51.184100000000,70817
Estrela,4307807,-29.501600000000,-51.960500000000,24739
Estrela Velha,4307815,-29.171299999990,-53.163899999990,12
Eugênio de Castro,4307831,-28.531500000000,-54.150599999990,1056
Fagundes Varela,4307864,-28.879400000000,-51.701400000000,1053
Farroupilha,4307906,-29.222700000000,-51.341900000000,44045
Faxinal do Soturno,4308003,-29.578800000000,-53.448399999990,0
Faxinalzinho,4308052,-27.423800000000,-52.678899999990,913
Fazenda Vilanova,4308078,-29.588500000000,-51.821700000000,1825
Feliz,4308102,-29.452700000000,-51.303199999990,8626
Flores da Cunha,4308201,-29.026199999990,-51.187500000000,17452
Fontoura Xavier,4308300,-28.981600000000,-52.344499999990,0
Formigueiro,4308409,-30.003499999990,-53.495899999990,2646
Fortaleza dos Valos,4308458,-28.798600000000,-53.224899999990,1567
Frederico Westphalen,4308508,-27.358599999990,-53.395800000000,18266
Garibaldi,4308607,-29.259000000000,-51.535200000000,22096
Garruchos,4308656,-28.194400000000,-55.638300000000,982
Gaurama,4308706,-27.585599999990,-52.091500000000,2461
General Câmara,4308805,-29.903199999990,-51.761200000000,4109
Gentil,4308854,-28.431600000000,-52.033700000000,382
Getúlio Vargas,4308904,-27.891100000000,-52.229399999990,9768
Giruá,4309001,-28.029699999990,-54.351700000000,8423
Glorinha,4309050,-29.879799999990,-50.773400000000,4366
Gramado,4309100,-29.373300000000,-50.876199999990,32105
Gramado dos Loureiros,4309126,-27.442900000000,-52.914900000000,73
Gramado Xavier,4309159,-29.270600000000,-52.579500000000,78
Gravataí,4309209,-29.941299999990,-50.986899999990,195445
Guabiju,4309258,-28.542100000000,-51.694800000000,501
Guaíba,4309308,-30.108599999990,-51.323300000000,59599
Guaporé,4309407,-28.839900000000,-51.889499999990,16786
Guarani das Missões,4309506,-28.149100000000,-54.562899999990,3614
Harmonia,4309555,-29.545600000000,-51.418500000000,2114
Herval,4307104,-32.024000000000,-53.394399999990,2655
Herveiras,4309571,-29.455200000000,-52.655299999990,429
Horizontina,4309605,-27.628200000000,-54.305300000000,12744
Hulha Negra,4309654,-31.406700000000,-53.866700000000,67
Humaitá,4309704,-27.569099999990,-53.969499999990,2211
Ibarama,4309753,-29.420300000000,-53.129500000000,918
Ibiraiaras,4309902,-28.374099999990,-51.637700000000,2891
Ibirapuitã,4309951,-28.624700000000,-52.515799999990,1450
Ibirubá,4310009,-28.630199999990,-53.096100000000,11058
Igrejinha,4310108,-29.569299999990,-50.791899999990,24688
Ijuí,4310207,-28.388100000000,-53.920000000000,0
Ilópolis,4310306,-28.928200000000,-52.125799999990,1459
Imbé,4310330,-29.975300000000,-50.128100000000,33101
Imigrante,4310363,-29.350800000000,-51.774700000000,1444
Independência,4310405,-27.835400000000,-54.188600000000,2369
Inhacorá,4310413,-27.875200000000,-54.015000000000,686
Ipê,4310439,-28.817100000000,-51.285899999990,2339
Ipiranga do Sul,4310462,-27.940400000000,-52.427100000000,561
Iraí,4310504,-27.195100000000,-53.254300000000,3105
Itaara,4310538,-29.601299999990,-53.772500000000,3870
Itacurubi,4310553,-28.791300000000,-55.244700000000,1062
Itapuca,4310579,-28.776800000000,-52.169300000000,23
Itaqui,4310603,-29.131000000000,-56.551499999990,23426
Itati,4310652,-29.488320000000,-50.113579999990,623
Itatiba do Sul,4310702,-27.384599999990,-52.453800000000,1014
Ivorá,4310751,-29.523199999990,-53.584200000000,20
Ivoti,4310801,-29.599499999990,-51.153300000000,19041
Jacutinga,4310900,-27.729099999990,-52.537199999990,1749
Jaguarão,4311007,-32.560400000000,-53.377000000000,17013
Jaguari,4311106,-29.493600000000,-54.703000000000,5313
Jaquirana,4311122,-28.881100000000,-50.363700000000,1725
Jari,4311130,-29.292200000000,-54.223700000000,116
Jóia,4311155,-28.643500000000,-54.114100000000,1790
Júlio de Castilhos,4311205,-29.229800000000,-53.677199999990,10208
Lagoa Bonita do Sul,4311239,-29.488199999990,-53.013800000000,264
Lagoa dos Três Cantos,4311270,-28.567599999990,-52.861800000000,653
Lagoa Vermelha,4311304,-28.209299999990,-51.524799999990,16345
Lagoão,4311254,-29.234800000000,-52.799700000000,111
Lajeado,4311403,-29.459099999990,-51.964399999990,48170
Lajeado do Bugre,4311429,-27.691299999990,-53.181800000000,49
Lavras do Sul,4311502,-30.807099999990,-53.893099999990,3866
Liberato Salzano,4311601,-27.600999999990,-53.075299999990,1064
Lindolfo Collor,4311627,-29.585899999990,-51.214100000000,3463
Linha Nova,4311643,-29.467900000000,-51.200299999990,489
Maçambará,4311718,-29.144500000000,-56.067399999990,1528
Machadinho,4311700,-27.566700000000,-51.666800000000,2177
Mampituba,4311734,-29.213600000000,-49.931100000000,251
Manoel Viana,4311759,-29.585899999990,-55.484099999990,3666
Maquiné,4311775,-29.679800000000,-50.207900000000,3284
Maratá,4311791,-29.545700000000,-51.557299999990,767
Marau,4311809,-28.449800000000,-52.198599999990,24188
Marcelino Ramos,4311908,-27.467600000000,-51.909500000000,2147
Mariana Pimentel,4311981,-30.353100000000,-51.580300000000,863
Mariano Moro,4312005,-27.356800000000,-52.146700000000,814
Mata,4312104,-29.564900000000,-54.464100000000,1881
Mato Leitão,4312153,-29.528500000000,-52.127800000000,1990
